"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\dunca\Documents\development\apps\sayari\lib\__app\app_notes.md", "Markdown", 0, 8, 0, 7, 15
"c:\Users\dunca\Documents\development\apps\sayari\lib\__routing\routes.dart", "Dart", 46, 0, 9, 3, 58
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\breakpoints.dart", "Dart", 9, 0, 0, 3, 12
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\helpers.dart", "Dart", 54, 0, 3, 9, 66
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\spacing.dart", "Dart", 56, 0, 6, 11, 73
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\styler.dart", "Dart", 94, 0, 4, 29, 127
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\theme.dart", "Dart", 67, 0, 1, 3, 71
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\theme_btn.dart", "Dart", 28, 0, 0, 4, 32
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\theme_menu.dart", "Dart", 72, 0, 5, 6, 83
"c:\Users\dunca\Documents\development\apps\sayari\lib\__styling\variables.dart", "Dart", 60, 0, 6, 14, 80
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\background_ops.dart", "Dart", 6, 0, 0, 3, 9
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\clipboard.dart", "Dart", 13, 0, 0, 3, 16
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\debug.dart", "Dart", 16, 0, 0, 5, 21
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\error_handler.dart", "Dart", 21, 0, 3, 6, 30
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\extentions\strings.dart", "Dart", 11, 0, 0, 2, 13
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\forms\form_validation_helper.dart", "Dart", 23, 0, 0, 6, 29
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\forms\regex_checks.dart", "Dart", 5, 0, 3, 2, 10
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\global.dart", "Dart", 23, 0, 0, 3, 26
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\helpers.dart", "Dart", 15, 0, 1, 7, 23
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\internet_connection.dart", "Dart", 4, 0, 26, 9, 39
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\keyboard.dart", "Dart", 11, 0, 0, 4, 15
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\navigation.dart", "Dart", 61, 0, 0, 15, 76
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\safe_run.dart", "Dart", 9, 0, 0, 2, 11
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\ui.dart", "Dart", 13, 0, 0, 5, 18
"c:\Users\dunca\Documents\development\apps\sayari\lib\_helpers\url_launcher.dart", "Dart", 19, 0, 2, 3, 24
"c:\Users\dunca\Documents\development\apps\sayari\lib\_models\features.dart", "Dart", 17, 0, 9, 7, 33
"c:\Users\dunca\Documents\development\apps\sayari\lib\_models\files.dart", "Dart", 15, 0, 0, 3, 18
"c:\Users\dunca\Documents\development\apps\sayari\lib\_models\item.dart", "Dart", 108, 0, 3, 12, 123
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\_providers.dart", "Dart", 62, 0, 9, 8, 79
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\focus.dart", "Dart", 12, 0, 0, 4, 16
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\global.dart", "Dart", 21, 0, 4, 5, 30
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\input.dart", "Dart", 81, 0, 5, 25, 111
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\theme.dart", "Dart", 22, 0, 0, 5, 27
"c:\Users\dunca\Documents\development\apps\sayari\lib\_providers\views.dart", "Dart", 52, 0, 6, 12, 70
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\activity\activity_helper.dart", "Dart", 21, 0, 0, 4, 25
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\activity\listen\helpers.dart", "Dart", 24, 0, 2, 6, 32
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\activity\listen\listen_for_table_updates.dart", "Dart", 48, 0, 1, 7, 56
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\activity\listen\listen_for_user_updates.dart", "Dart", 32, 0, 2, 7, 41
