"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\saved\saved_sheet.dart", "Dart", 31, 0, 5, 3, 39
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\search\_helpers\helpers.dart", "Dart", 0, 0, 0, 2, 2
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\search\_helpers\search.dart", "Dart", 1, 0, 0, 1, 2
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\search\search_bar.dart", "Dart", 53, 0, 0, 5, 58
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\search\search_btn.dart", "Dart", 21, 0, 0, 4, 25
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\search\search_sheet.dart", "Dart", 22, 0, 5, 4, 31
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\settings\_w\account_details.dart", "Dart", 47, 0, 10, 4, 61
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\settings\_w\account_support.dart", "Dart", 39, 0, 6, 4, 49
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\settings\_w\reset_password.dart", "Dart", 43, 0, 5, 4, 52
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\settings\_w\theme_settings.dart", "Dart", 36, 0, 4, 4, 44
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\settings\_w\title.dart", "Dart", 20, 0, 0, 5, 25
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\settings\edit_details.dart", "Dart", 69, 0, 15, 4, 88
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\settings\settings_sheet.dart", "Dart", 41, 0, 10, 3, 54
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\share\_helpers\helpers.dart", "Dart", 14, 0, 0, 2, 16
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\share\_helpers\share.dart", "Dart", 50, 0, 4, 2, 56
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\share\_w\actions.dart", "Dart", 59, 0, 4, 6, 69
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\share\_w\blog_body.dart", "Dart", 56, 0, 8, 6, 70
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\share\_w\blog_info.dart", "Dart", 44, 0, 9, 6, 59
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\share\_w\header.dart", "Dart", 51, 0, 3, 5, 59
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\share\_w\preview.dart", "Dart", 37, 0, 0, 5, 42
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\share\_w\shared_info.dart", "Dart", 53, 0, 0, 5, 58
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\share\shared_item.dart", "Dart", 134, 0, 9, 5, 148
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\share\shared_screen.dart", "Dart", 112, 0, 3, 10, 125
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\share\test_screen.dart", "Dart", 32, 0, 0, 5, 37
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\tts\_helpers\tts_helpers.dart", "Dart", 17, 0, 0, 3, 20
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\tts\_helpers\tts_service.dart", "Dart", 44, 0, 0, 10, 54
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\tts\_state\tts_provider.dart", "Dart", 23, 0, 6, 9, 38
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\tts\_w\tts_button.dart", "Dart", 27, 0, 0, 5, 32
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\tts\_w\tts_controls.dart", "Dart", 41, 0, 6, 6, 53
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\user\_helpers\edit_user_details.dart", "Dart", 60, 0, 0, 9, 69
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\user\_helpers\saved.dart", "Dart", 39, 0, 0, 4, 43
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\user\_helpers\set_user_data.dart", "Dart", 13, 0, 3, 7, 23
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\user\_helpers\user_actions.dart", "Dart", 119, 0, 16, 19, 154
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\user\dp_options.dart", "Dart", 21, 0, 5, 3, 29
"c:\Users\dunca\Documents\development\apps\sayari\lib\features\user\user_dp.dart", "Dart", 124, 0, 4, 9, 137
"c:\Users\dunca\Documents\development\apps\sayari\lib\firebase_options.dart", "Dart", 63, 0, 12, 5, 80
"c:\Users\dunca\Documents\development\apps\sayari\lib\main.dart", "Dart", 53, 0, 1, 9, 63
"Total", "-", 27317, 13, 3413, 3366, 34109
